
Insertion Sort:
Size | Time
-----|------
64 |  0.00 seconds
65 |  0.00 seconds
66 |  0.00 seconds
67 |  0.00 seconds
68 |  0.00 seconds
69 |  0.00 seconds
70 |  0.00 seconds
71 |  0.00 seconds
72 |  0.00 seconds
73 |  0.00 seconds
74 |  0.00 seconds
75 |  0.00 seconds
76 |  0.00 seconds
77 |  0.00 seconds
78 |  0.00 seconds
79 |  0.00 seconds
80 |  0.00 seconds
81 |  0.00 seconds
82 |  0.00 seconds
83 |  0.00 seconds
84 |  0.00 seconds
85 |  0.00 seconds
86 |  0.00 seconds
87 |  0.00 seconds
88 |  0.00 seconds
89 |  0.00 seconds
90 |  0.00 seconds
91 |  0.00 seconds
92 |  0.00 seconds
93 |  0.00 seconds
94 |  0.00 seconds
95 |  0.00 seconds
96 |  0.00 seconds
97 |  0.00 seconds
98 |  0.00 seconds
99 |  0.00 seconds
100 |  0.00 seconds
101 |  0.00 seconds
102 |  0.00 seconds
103 |  0.00 seconds
104 |  0.00 seconds
105 |  0.00 seconds
106 |  0.00 seconds
107 |  0.00 seconds
108 |  0.00 seconds
109 |  0.00 seconds
110 |  0.00 seconds
111 |  0.00 seconds
112 |  0.00 seconds
113 |  0.00 seconds
114 |  0.00 seconds
115 |  0.00 seconds
116 |  0.00 seconds
117 |  0.00 seconds
118 |  0.00 seconds
119 |  0.00 seconds
120 |  0.00 seconds
121 |  0.00 seconds
122 |  0.00 seconds
123 |  0.00 seconds
124 |  0.00 seconds
125 |  0.00 seconds
126 |  0.00 seconds
127 |  0.00 seconds
128 |  0.00 seconds
129 |  0.00 seconds
130 |  0.00 seconds
131 |  0.00 seconds
132 |  0.00 seconds
133 |  0.00 seconds
134 |  0.00 seconds
135 |  0.00 seconds
136 |  0.00 seconds
137 |  0.00 seconds
138 |  0.00 seconds
139 |  0.00 seconds
140 |  0.00 seconds
141 |  0.00 seconds
142 |  0.00 seconds
143 |  0.00 seconds
144 |  0.00 seconds
145 |  0.00 seconds
146 |  0.00 seconds
147 |  0.00 seconds
148 |  0.00 seconds
149 |  0.00 seconds
150 |  0.00 seconds
151 |  0.00 seconds
152 |  0.00 seconds
153 |  0.00 seconds
154 |  0.00 seconds
155 |  0.00 seconds
156 |  0.00 seconds
157 |  0.00 seconds
158 |  0.00 seconds
159 |  0.00 seconds
160 |  0.00 seconds
161 |  0.00 seconds
162 |  0.00 seconds
163 |  0.00 seconds
164 |  0.00 seconds
165 |  0.00 seconds
166 |  0.00 seconds
167 |  0.00 seconds
168 |  0.00 seconds
169 |  0.00 seconds
170 |  0.00 seconds
171 |  0.00 seconds
172 |  0.00 seconds
173 |  0.00 seconds
174 |  0.00 seconds
175 |  0.00 seconds
176 |  0.00 seconds
177 |  0.00 seconds
178 |  0.00 seconds
179 |  0.00 seconds
180 |  0.00 seconds
181 |  0.00 seconds
182 |  0.00 seconds
183 |  0.00 seconds
184 |  0.00 seconds
185 |  0.00 seconds
186 |  0.00 seconds
187 |  0.00 seconds
188 |  0.00 seconds
189 |  0.00 seconds
190 |  0.00 seconds
191 |  0.00 seconds
192 |  0.00 seconds
193 |  0.00 seconds
194 |  0.00 seconds
195 |  0.00 seconds
196 |  0.00 seconds
197 |  0.00 seconds
198 |  0.00 seconds
199 |  0.00 seconds
200 |  0.00 seconds
201 |  0.00 seconds
202 |  0.00 seconds
203 |  0.00 seconds
204 |  0.00 seconds
205 |  0.00 seconds
206 |  0.00 seconds
207 |  0.00 seconds
208 |  0.00 seconds
209 |  0.00 seconds
210 |  0.00 seconds
211 |  0.00 seconds
212 |  0.00 seconds
213 |  0.00 seconds
214 |  0.00 seconds
215 |  0.00 seconds
216 |  0.00 seconds
217 |  0.00 seconds
218 |  0.00 seconds
219 |  0.00 seconds
220 |  0.00 seconds
221 |  0.00 seconds
222 |  0.00 seconds
223 |  0.00 seconds
224 |  0.00 seconds
225 |  0.00 seconds
226 |  0.00 seconds
227 |  0.00 seconds
228 |  0.00 seconds
229 |  0.00 seconds
230 |  0.00 seconds
231 |  0.00 seconds
232 |  0.00 seconds
233 |  0.00 seconds
234 |  0.00 seconds
235 |  0.01 seconds
236 |  0.00 seconds
237 |  0.00 seconds
238 |  0.00 seconds
239 |  0.00 seconds
240 |  0.00 seconds
241 |  0.00 seconds
242 |  0.00 seconds
243 |  0.00 seconds
244 |  0.00 seconds
245 |  0.00 seconds
246 |  0.00 seconds
247 |  0.00 seconds
248 |  0.00 seconds
249 |  0.00 seconds
250 |  0.00 seconds
251 |  0.00 seconds
252 |  0.00 seconds
253 |  0.00 seconds
254 |  0.00 seconds
255 |  0.00 seconds
256 |  0.00 seconds
257 |  0.00 seconds
258 |  0.00 seconds
259 |  0.00 seconds
260 |  0.00 seconds
261 |  0.00 seconds
262 |  0.00 seconds
263 |  0.00 seconds
264 |  0.00 seconds
265 |  0.00 seconds
266 |  0.00 seconds
267 |  0.00 seconds
268 |  0.00 seconds
269 |  0.00 seconds
270 |  0.00 seconds
271 |  0.00 seconds
272 |  0.00 seconds
273 |  0.00 seconds
274 |  0.00 seconds
275 |  0.00 seconds
276 |  0.00 seconds
277 |  0.00 seconds
278 |  0.00 seconds
279 |  0.00 seconds
280 |  0.00 seconds
281 |  0.00 seconds
282 |  0.00 seconds
283 |  0.00 seconds
284 |  0.00 seconds
